
 Lista de Imóveis da Caixa;;Data de geração:;13/07/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444402400870 ;PB ;BAYEUX ;CENTRO ; RUA PROJETADA 02, N. 180, CASA 04 ;38.308,76;79.000,00;51.51;Não;Casa, 0.00 de área total, 46.57 de área privativa, 105.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402400870
 8787707135722 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL PAULINO GOMES, N. 535, Apto 202C, ;70.402,24;140.000,00;49.72;Não;Apartamento, 67.47 de área total, 52.78 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707135722
 8444406666378 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JORGE AMADO, N. 105, CS 02, LOT. PANORAMICO ;54.164,70;107.500,00;49.62;Não;Casa, 45.72 de área total, 45.72 de área privativa, 75.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406666378
 8444413937470 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA MARIA DO CARMO DOS SANTOS, N. 137, CS 02 ;69.440,35;137.000,00;49.32;Não;Casa, 0.00 de área total, 71.92 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413937470
 8444417034122 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL CALIXTO DE LIMA, N. 520, CS B ;69.000,68;135.000,00;48.89;Não;Casa, 58.96 de área total, 57.84 de área privativa, 70.96 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417034122
 8787710138583 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL PAULINO GOMES, N. 535, Apto 204-, 204B ;72.357,86;140.000,00;48.32;Não;Apartamento, 67.47 de área total, 52.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710138583
 8444408646625 ;PB ;BAYEUX ;AEROPORTO ; R PROJETADA, N. 251, CS 104 ;55.887,36;108.000,00;48.26;Não;Casa, 54.00 de área total, 54.00 de área privativa, 84.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408646625
 8444404547614 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA SETOR 20, N. 41, CASA 03 ;55.369,88;107.000,00;48.26;Não;Casa, 46.58 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404547614
 8444425524990 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA, N. 171, CASA 01, CS 1 ;54.852,41;106.000,00;48.26;Não;Casa, 75.50 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425524990
 8444405371986 ;PB ;BAYEUX ;LOT RES PANORAMICO ; R VITORIA, N. 240, CS 01 ;47.413,36;91.000,00;47.90;Não;Casa, 45.72 de área total, 45.72 de área privativa, 66.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405371986
 8444414789548 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARECHAL CASTELO BRANCO, N. 308,  CS N 02 ;45.805,55;87.914,14;47.90;Não;Casa, 77.53 de área total, 46.57 de área privativa, 83.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414789548
